;ID;nome;nome_completo;idade;altura;peso;nacionalidade;overall;potencial;crescimento;total_stats;base_stats;posicoes;posicao_preferida;clube;valor_euro;salario_euro;passe_euro;posicao_clube;fim_contrato;numero_camisa;entrou_no_clube;emprestimo;selecao;posicao_selecao;numero_selecao;pe;dedicacao_ataque;dedicacao_defesa;velocidade_total;chute_total;ultrapassagem_total;drible_total;defesa_total;fisico_total;cruzamento;finalizacao;cabeceio;passe_curto;voleio;firula;curva;falta;passe_longo;controle_bola;aceleracao;explosao;agilidade;reacao;equilibrio;forca_chute;pulo;stamina;forca;chute_longo;agressividade;interceptacao;posicionamento;visao_jogo;penaltis;calma;marcacao;combate;carrinho;GK_mergulho;GK_maos;GK_chute;GK_posicionamento;GK_reflexos
2490;242287;F. Ortega;Francisco Ortega;22;177;75;Argentina;73;80;7;1956;429;LB,LWB,LW;LM;Vélez Sarsfield;6000000;10000;10200000;LB;2024.0;5.0;2017;False;Fora;;;Esquerdo;Alta;Média;88;58;67;76;63;77;74;55;57;69;49;76;67;45;59;73;87;88;83;65;82;69;75;88;71;54;79;64;71;66;48;75;58;67;66;8;7;14;11;11
1919;229453;Gil Dias;Gil Bastião Dias;24;183;78;Portugal;75;80;5;1951;422;LM,LWB;LM;SL Benfica;8500000;11000;17600000;RES;2026.0;31.0;2021;False;Fora;;;Esquerdo;Alta;Média;76;66;70;77;64;69;75;63;57;70;60;79;70;63;61;77;77;75;76;72;73;73;53;86;64;71;63;67;66;73;49;72;62;68;63;5;6;14;7;13
4431;252523;I. Ndiaye;Ibrahima Ndiaye;22;176;65;Senegal;71;80;9;1891;414;RM,LM,RW;LM;FC Luzern;4200000;9000;7100000;RW;2023.0;7.0;2019;False;Fora;;;Esquerdo;Alta;Alta;91;66;63;76;57;61;64;71;74;66;48;77;62;58;62;70;91;91;91;56;89;69;94;74;59;62;43;57;59;57;51;62;66;48;40;12;6;9;6;9
4578;252293;I. Jakobs;Ismail Jakobs;21;184;75;Germany;71;80;9;1775;405;LM,LWB;LM;AS Monaco;4200000;21000;8800000;RES;2026.0;14.0;2021;False;Fora;;;Esquerdo;Alta;Alta;86;58;58;73;61;69;65;64;54;65;41;75;44;30;49;72;88;85;74;68;68;65;54;81;67;44;65;64;64;56;39;62;60;60;63;15;8;10;7;11
2748;258602;Jon Morcillo;Jon Morcillo Conesa;22;183;72;Spain;73;79;6;1853;392;LM,LW;LM;Athletic Club de Bilbao;4900000;18000;11300000;RES;2023.0;11.0;2016;False;Fora;;;Esquerdo;Alta;Média;76;74;71;75;37;59;78;75;63;77;62;77;71;69;60;74;77;76;80;60;73;76;68;63;63;75;43;30;63;62;75;69;28;42;34;12;10;14;11;12
3011;224949;J. Dilrosun;Javairô Dilrosun;23;174;74;Netherlands;73;79;6;1722;384;LM;LM;FC Girondins de Bordeaux;4800000;28000;0;SUB;2022.0;21.0;2018;True;Fora;;;Esquerdo;Média;Baixa;83;63;63;80;43;52;70;70;32;69;60;83;60;49;58;78;87;80;85;64;77;72;40;66;54;42;34;42;68;54;55;56;50;44;27;8;15;11;7;11
2237;240976;M. Saracchi;Marcelo Saracchi;23;172;68;Uruguay;74;79;5;2016;428;LB;LM;RB Leipzig;6000000;40000;10700000;RES;2023.0;43.0;2018;False;Fora;;;Esquerdo;Alta;Média;82;63;70;75;69;69;71;61;68;72;48;74;69;61;70;73;85;79;84;73;84;68;77;73;62;66;81;71;70;70;53;71;69;68;70;8;8;11;10;9
4033;228120;K. Paal;Kenneth Paal;24;174;70;Netherlands;71;77;6;1925;411;LB;LM;PEC Zwolle;2800000;6000;4600000;LB;2022.0;5.0;2019;False;Fora;;;Esquerdo;Alta;Média;83;52;67;74;64;71;68;47;59;69;58;74;67;50;63;73;85;82;81;66;80;62;81;75;70;50;67;71;66;68;45;70;62;64;62;11;15;9;13;12
4529;243061;Lee Dong Jun;Dong Jun Lee;24;173;65;Korea Republic;71;77;6;1755;387;RW,RM;RW;Ulsan Hyundai FC;3000000;8000;4500000;RM;2023.0;11.0;2021;False;Fora;;;Esquerdo;Alta;Média;89;62;56;77;43;60;59;63;54;61;56;81;48;42;45;71;88;90;81;67;83;64;58;67;55;58;65;40;71;57;57;65;42;44;36;12;8;7;15;10
4577;233606;J. Angulo;Jesús Angulo;24;172;63;Mexico;71;77;6;1819;390;LM,RM;LM;Guadalajara;3000000;24000;5700000;LM;2023.0;19.0;2020;False;Fora;;;Esquerdo;Alta;Baixa;78;64;69;71;46;62;73;62;55;72;44;72;57;56;68;70;78;78;76;62;73;64;56;69;59;75;64;48;61;67;60;55;34;51;58;15;6;13;11;12
3627;254048;F. Waller;Facundo Waller;24;174;69;Uruguay;72;76;4;1943;415;LM,CM;LM;Atlético de San Luis;3400000;11000;6000000;SUB;2023.0;15.0;2021;False;Fora;;;Esquerdo;Alta;Alta;76;68;71;72;64;64;72;66;58;74;52;71;72;70;72;72;77;75;79;64;76;77;71;70;63;73;55;66;65;66;53;69;66;65;60;7;7;11;10;8
4423;216860;V. Černý;Václav Černý;23;182;65;Czech Republic;71;75;4;1672;364;RW,LW;RW;FC Twente;2700000;7000;4300000;RES;2023.0;7.0;2021;False;Fora;;;Esquerdo;Média;Alta;83;65;61;75;27;53;61;67;42;63;60;75;75;58;48;74;82;83;87;66;65;65;33;65;48;66;54;35;65;66;50;64;27;20;19;11;10;10;11;11
