;ID;nome;nome_completo;idade;altura;peso;nacionalidade;overall;potencial;crescimento;total_stats;base_stats;posicoes;posicao_preferida;clube;valor_euro;salario_euro;passe_euro;posicao_clube;fim_contrato;numero_camisa;entrou_no_clube;emprestimo;selecao;posicao_selecao;numero_selecao;pe;dedicacao_ataque;dedicacao_defesa;velocidade_total;chute_total;ultrapassagem_total;drible_total;defesa_total;fisico_total;cruzamento;finalizacao;cabeceio;passe_curto;voleio;firula;curva;falta;passe_longo;controle_bola;aceleracao;explosao;agilidade;reacao;equilibrio;forca_chute;pulo;stamina;forca;chute_longo;agressividade;interceptacao;posicionamento;visao_jogo;penaltis;calma;marcacao;combate;carrinho;GK_mergulho;GK_maos;GK_chute;GK_posicionamento;GK_reflexos
218;229391;Palhinha;João Maria Palhinha Gonçalves;25;190;82;Portugal;82;87;5;2033;440;CDM,CM;CB;Sporting CP;41000000;18000;85100000;CM;2025.0;6.0;2015;False;Portugal;CDM;6.0;Direito;Média;Alta;60;65;70;72;85;88;59;62;79;76;54;74;61;45;78;76;57;62;60;77;44;76;81;87;88;67;89;83;67;71;56;82;85;87;86;14;10;8;7;7
176;225850;P. Kimpembe;Presnel Kimpembe;25;189;80;France;83;87;4;1951;429;CB;CB;Paris Saint-Germain;45500000;90000;87600000;SUB;2024.0;3.0;2015;False;France;CB;3.0;Esquerdo;Média;Alta;81;42;68;69;83;86;59;31;80;80;33;63;50;32;75;78;80;81;69;80;60;70;79;81;87;37;90;84;47;64;57;80;81;86;84;7;8;14;15;9
477;229261;D. Zakaria;Denis Zakaria;24;191;81;Switzerland;80;86;6;2034;458;CDM,CB;CB;Borussia Mönchengladbach;30500000;28000;58000000;SUB;2022.0;8.0;2017;False;Fora;;;Direito;Alta;Média;83;64;72;75;80;84;67;66;67;79;35;76;63;46;73;76;79;86;67;82;64;73;66;81;87;63;85;80;65;73;38;83;81;82;79;12;12;7;13;11
989;253163;R. Araujo;Ronald Araujo;22;192;91;Uruguay;77;86;9;1671;371;CB;CB;FC Barcelona;22000000;86000;49500000;RES;2023.0;4.0;2018;False;Fora;;;Direito;Média;Média;77;36;53;50;79;76;21;35;79;74;38;38;27;45;62;66;73;80;47;73;55;41;76;65;81;35;76;73;38;48;33;72;79;82;78;11;14;9;11;8
1008;245037;Eric García;Eric García Martret;20;182;76;Spain;77;86;9;1795;390;CB;CB;FC Barcelona;21500000;71000;48400000;CB;2026.0;24.0;2021;False;Spain;CB;12.0;Direito;Média;Alta;65;44;65;65;79;72;46;42;77;79;31;62;62;31;72;72;60;69;60;78;57;51;73;68;73;44;76;80;42;62;44;79;79;78;77;11;9;12;11;7
790;248695;W. Fofana;Wesley Fofana;20;190;76;France;78;86;8;1770;387;CB;CB;Leicester City;29000000;57000;60900000;RES;2025.0;3.0;2020;False;Fora;;;Direito;Média;Média;74;37;55;63;80;78;39;29;74;69;40;61;39;38;66;67;68;79;61;75;58;48;78;73;80;37;79;83;42;47;48;70;79;80;78;14;12;9;14;6
1187;257179;Gonçalo Inácio;Gonçalo Bernardo Inácio;19;186;77;Portugal;76;86;10;1676;378;CB;CB;Sporting CP;15000000;7000;33000000;CB;2025.0;25.0;2019;False;Fora;;;Esquerdo;Média;Média;79;30;60;58;77;74;30;23;71;74;34;49;29;27;76;69;78;80;59;76;54;44;70;74;73;28;75;75;24;67;45;68;79;79;78;6;6;7;10;7
576;244067;M. Lacroix;Maxence Lacroix;21;190;88;France;79;86;7;1740;398;CB;CB;VfL Wolfsburg;33000000;42000;62700000;CB;2024.0;4.0;2020;False;Fora;;;Direito;Média;Alta;88;33;56;64;80;77;35;29;74;73;28;60;37;26;66;69;81;93;64;78;55;46;80;67;83;27;74;83;32;51;38;80;83;78;74;14;7;12;12;11
858;237678;I. Konaté;Ibrahima Konaté;22;194;95;France;78;86;8;1705;384;CB;CB;Liverpool;29500000;73000;60500000;SUB;2026.0;5.0;2021;False;Fora;;;Direito;Média;Alta;71;34;57;66;80;76;38;29;77;75;28;67;32;27;69;69;67;75;60;71;54;45;74;61;83;31;77;78;37;51;41;74;76;85;79;9;7;9;9;15
226;220440;C. Lenglet;Clément Lenglet;26;186;81;France;82;86;4;1901;410;CB;CB;FC Barcelona;37500000;145000;79700000;SUB;2026.0;15.0;2018;False;France;SUB;21.0;Esquerdo;Média;Alta;72;45;67;64;83;79;55;39;81;78;37;57;59;31;74;76;73;71;61;81;58;58;84;75;80;46;79;85;54;66;49;82;84;82;80;10;10;9;12;7
976;225793;B. Godfrey;Ben Godfrey;23;183;79;England;77;85;8;1849;411;CB,LB;CB;Everton;22000000;56000;46200000;SUB;2025.0;22.0;2020;False;Fora;;;Direito;Média;Alta;83;44;61;65;76;82;56;35;73;71;40;62;39;33;65;68;74;90;70;74;66;53;80;80;83;55;81;74;46;56;44;68;75;78;78;7;6;12;14;11
1414;231936;B. White;Ben White;23;185;77;England;76;85;9;1664;377;CB,CM;CB;Arsenal;15500000;52000;32600000;CB;2026.0;4.0;2021;False;Fora;;;Direito;Média;Média;69;27;61;67;77;76;53;22;69;76;21;65;26;20;67;73;69;69;59;75;55;39;79;80;74;25;75;78;39;57;24;75;78;77;78;8;11;12;5;6
1876;232938;T. Tomiyasu;Takehiro Tomiyasu;22;188;84;Japan;75;85;10;1754;385;CB,RB;CB;Arsenal;12000000;49000;25200000;SUB;2026.0;18.0;2021;False;Fora;;;Direito;Média;Alta;68;32;63;69;76;77;62;29;69;71;30;68;48;37;66;71;68;68;70;71;70;42;70;80;77;28;73;76;38;59;37;60;77;77;77;9;14;6;5;11
3513;262578;M. Vušković;Mario Vušković;19;189;80;Croatia;72;85;13;1458;324;CB;CB;Hamburger SV;5000000;500;0;SUB;2023.0;44.0;2019;True;Fora;;;Direito;Média;Alta;65;29;40;45;72;73;25;25;69;62;24;32;29;22;38;63;62;67;48;65;47;41;76;60;77;27;78;76;20;27;38;52;68;74;72;12;5;13;10;6
4349;252961;T. Nianzou;Tanguy Nianzou;19;187;83;France;71;85;14;1653;368;CB,CDM;CB;FC Bayern München;4200000;18000;9600000;SUB;2024.0;23.0;2020;False;Fora;;;Direito;Baixa;Alta;69;37;55;62;71;74;37;32;72;69;37;62;41;31;66;65;70;68;55;65;56;57;77;69;77;25;70;69;36;50;42;65;70;73;68;6;14;9;8;7
513;236506;M. Senesi;Marcos Senesi;24;183;78;Argentina;79;85;6;1773;392;CB;CB;Feyenoord;25000000;12000;42500000;CB;2023.0;4.0;2019;False;Fora;;;Esquerdo;Alta;Alta;61;39;63;70;81;78;53;32;79;75;25;70;31;22;73;74;67;56;62;76;61;55;81;71;82;43;75;81;32;65;40;77;83;82;78;10;13;11;7;8
573;251809;S. Botman;Sven Botman;21;193;81;Netherlands;79;85;6;1736;379;CB;CB;LOSC Lille;25500000;27000;53600000;CB;2025.0;4.0;2020;False;Fora;;;Esquerdo;Média;Alta;60;36;59;60;80;84;43;24;81;72;27;59;47;28;70;64;57;63;59;75;41;65;78;82;88;37;79;77;38;57;37;74;79;82;78;12;9;8;6;14
999;247257;Ibañez;Roger Ibañez Da Silva;22;185;73;Brazil;77;85;8;1667;370;CB;CB;Roma;22000000;37000;41800000;CB;2025.0;3.0;2021;False;Fora;;;Direito;Média;Alta;81;32;45;56;79;77;34;27;73;63;29;40;32;35;40;73;82;80;69;81;62;45;69;78;77;25;76;80;32;34;46;64;80;79;79;12;7;10;6;12
521;232756;F. Tomori;Fikayo Tomori;23;185;79;England;79;85;6;1782;399;CB;CB;Milan;25000000;35000;47500000;CB;2025.0;23.0;2021;False;Fora;;;Direito;Média;Média;82;37;57;64;80;79;56;33;77;70;32;60;38;40;60;65;78;86;73;79;62;42;81;73;81;45;79;79;33;40;27;76;80;82;80;10;13;10;11;7
4186;247497;A. Bella Kotchap;Armel Bella Kotchap;19;190;87;Germany;71;85;14;1524;342;CB;CB;VfL Bochum 1848;4200000;8000;10200000;CB;2024.0;37.0;2019;False;Fora;;;Direito;Média;Média;76;25;50;46;71;74;31;20;67;66;24;33;22;22;64;60;73;79;55;59;60;38;76;61;85;20;64;73;29;46;33;57;68;75;69;12;14;5;8;13
1352;239890;O. Kabak;Ozan Kabak;21;186;86;Turkey;76;85;9;1707;382;CB;CB;Norwich City;15500000;9000;0;SUB;2022.0;15.0;2019;True;Fora;;;Direito;Média;Alta;69;36;56;68;74;79;26;35;76;73;28;67;32;31;69;72;63;73;64;71;64;48;84;65;85;25;80;72;30;60;47;75;72;76;75;10;13;10;6;5
444;213661;A. Christensen;Andreas Christensen;25;187;81;Denmark;80;85;5;1732;384;CB;CB;Chelsea;28000000;95000;53900000;CB;2022.0;4.0;2013;False;Denmark;CB;6.0;Direito;Baixa;Média;65;31;65;68;83;72;49;36;79;79;25;66;41;39;71;73;60;69;61;79;60;31;75;68;73;20;73;82;32;62;36;76;83;84;82;10;12;8;6;8
368;226166;N. Mukiele;Nordi Mukiele;23;187;84;France;81;85;4;1995;433;RWB,CB,RM;CB;RB Leipzig;34500000;65000;61200000;RB;2023.0;22.0;2018;False;Fora;;;Direito;Média;Alta;80;49;69;73;82;80;74;40;74;73;39;73;69;33;70;74;77;82;67;77;65;67;90;79;79;52;83;83;60;64;45;73;82;85;82;10;7;14;11;15
861;236355;Luiz Felipe;Luiz Felipe Ramos Marchi;24;187;80;Brazil;78;85;7;1727;384;CB;CB;Lazio;26000000;44000;49400000;CB;2022.0;3.0;2016;False;Fora;;;Direito;Média;Alta;73;29;61;69;80;72;53;22;74;72;32;69;31;35;66;71;70;75;65;78;46;44;80;58;74;26;81;82;28;58;44;58;81;79;79;14;8;13;10;9
1302;245388;J. Todibo;Jean-Clair Todibo;21;190;88;France;76;84;8;1782;398;CB;CB;OGC Nice;15500000;20000;32600000;CB;2026.0;25.0;2021;False;Fora;;;Direito;Média;Média;76;44;61;64;77;76;46;40;74;75;35;62;47;41;67;71;68;83;52;70;55;57;77;69;81;41;72;75;41;56;46;74;76;80;73;7;13;11;8;13
1304;244915;M. Salisu;Mohammed Salisu;22;191;85;Ghana;76;84;8;1627;363;CB;CB;Southampton;15500000;38000;32600000;CB;2024.0;22.0;2020;False;Fora;;;Esquerdo;Média;Alta;67;36;51;54;76;79;40;30;74;72;22;47;50;32;56;64;62;71;54;68;49;60;74;65;87;28;78;75;35;24;40;58;76;78;75;7;7;11;10;6
4231;250954;C. Richards;Chris Richards;21;188;87;United States;71;84;13;1616;354;CB,RB;CB;TSG 1899 Hoffenheim;4300000;24000;0;SUB;2022.0;28.0;2019;True;Fora;;;Direito;Média;Média;72;27;57;54;71;73;49;23;76;70;26;47;35;24;63;60;73;72;67;62;60;36;90;71;75;22;65;69;38;51;37;61;65;75;71;13;5;13;7;6
4077;253378;Tomás Ribeiro;Tomás Aresta Machado Ribeiro;22;185;77;Portugal;71;84;13;1591;344;CB;CB;Os Belenenses;4300000;4000;11700000;CB;2023.0;4.0;2019;False;Fora;;;Esquerdo;Média;Alta;67;34;49;49;71;74;35;22;69;64;25;36;32;27;59;61;65;69;59;71;58;66;80;73;73;28;76;71;29;38;44;61;73;71;68;6;5;10;14;14
1371;241187;L. Geertruida;Lutsharel Geertruida;20;185;73;Netherlands;76;84;8;1882;418;RB,CB;CB;Feyenoord;15500000;8000;26400000;SUB;2024.0;3.0;2017;False;Fora;;;Direito;Média;Média;80;52;66;71;74;75;72;59;83;72;31;71;36;30;69;74;79;80;69;68;69;49;88;76;75;42;70;68;65;64;40;64;72;78;75;12;11;13;12;10
1742;243715;W. Saliba;William Saliba;20;192;85;France;75;84;9;1743;384;CB;CB;Olympique de Marseille;11500000;41000;0;CB;2022.0;2.0;2019;True;Fora;;;Direito;Média;Alta;70;33;62;66;76;77;48;25;69;73;34;66;55;35;70;70;67;73;51;71;58;57;77;73;82;23;69;77;43;61;47;75;77;77;73;7;10;6;8;11
2170;236600;J. Tanganga;Japhet Tanganga;22;180;73;England;74;84;10;1798;394;RB,CB,LB;CB;Tottenham Hotspur;9000000;49000;18900000;SUB;2025.0;25.0;2017;False;Fora;;;Direito;Média;Alta;77;34;62;69;74;78;65;30;70;69;36;70;55;37;54;68;74;79;65;73;62;52;88;68;80;20;83;75;47;60;45;70;72;76;72;11;9;12;7;14
1118;236403;E. Ndicka;Evan Ndicka;21;192;80;France;77;84;7;1878;418;CB,LB;CB;Eintracht Frankfurt;20000000;19000;38000000;CB;2023.0;2.0;2018;False;Fora;;;Esquerdo;Alta;Média;75;47;70;73;77;76;66;38;78;76;31;76;59;30;74;78;69;79;55;76;55;65;72;75;78;54;74;75;67;71;33;78;77;79;74;13;8;7;8;8
2686;246875;O. Kossounou;Odilon Kossounou;20;191;79;Côte d'Ivoire;73;84;11;1656;381;CB,RB;CB;Bayer 04 Leverkusen;6000000;23000;11400000;SUB;2026.0;6.0;2021;False;Fora;;;Direito;Alta;Média;75;32;58;65;73;78;58;26;74;66;28;65;23;23;66;68;66;83;63;65;56;52;74;76;80;24;74;71;35;55;32;62;72;74;72;5;8;6;10;6
2817;245132;D. Popov;Denys Popov;22;187;77;Ukraine;73;84;11;1560;345;CB;CB;Dynamo Kyiv;6500000;650;15600000;RES;2025.0;4.0;2017;False;Fora;;;Direito;Alta;Média;63;38;46;51;74;73;29;38;80;66;28;46;22;21;56;57;60;66;48;66;59;42;77;64;75;40;80;70;25;34;37;62;74;75;74;7;15;7;13;9
2831;241159;M. Guéhi;Marc Guéhi;20;185;75;England;73;84;11;1627;360;CB;CB;Crystal Palace;6000000;26000;12600000;CB;2026.0;6.0;2021;False;Fora;;;Direito;Média;Média;71;31;49;63;74;72;35;24;68;67;32;61;29;32;55;66;65;76;62;73;65;49;73;67;77;26;67;74;33;38;38;63;76;75;72;8;9;11;12;12
1134;236532;R. Koch;Robin Koch;24;191;83;Germany;77;84;7;1732;382;CB,CDM;CB;Leeds United;19500000;56000;41000000;SUB;2024.0;5.0;2020;False;Fora;;;Direito;Média;Alta;66;38;61;64;78;75;40;27;78;74;29;59;31;28;71;70;54;75;64;75;59;56;66;73;78;42;73;77;52;65;38;74;79;79;76;9;6;15;8;6
1363;242578;B. Badiashile;Benoît Badiashile;20;194;75;France;76;84;8;1706;374;CB;CB;AS Monaco;15500000;29000;32600000;CB;2024.0;5.0;2018;False;Fora;;;Esquerdo;Média;Alta;62;39;63;57;77;76;36;21;78;77;31;57;44;34;76;66;55;67;34;74;37;70;79;66;84;47;68;78;44;66;46;73;78;78;72;8;7;5;15;8
708;227678;E. Konsa;Ezri Konsa;23;183;77;England;78;84;6;1837;403;CB,RB;CB;Aston Villa;20000000;50000;42000000;CB;2026.0;4.0;2019;False;Fora;;;Direito;Média;Média;77;39;62;71;79;75;51;34;78;74;35;70;37;38;72;73;73;81;64;80;71;58;78;71;77;32;75;78;50;58;38;77;81;77;78;14;8;11;13;9
524;232580;Gabriel;Gabriel dos S. Magalhães;23;190;87;Brazil;79;84;5;1713;381;CB;CB;Arsenal;24000000;65000;47400000;CB;2025.0;6.0;2020;False;Fora;;;Esquerdo;Média;Alta;68;36;60;57;80;80;38;31;82;75;28;52;47;27;71;66;62;72;51;78;37;51;70;67;86;30;82;78;44;59;40;74;80;81;78;12;8;13;10;7
394;240900;Unai Núñez;Unai Núñez Gestoso;24;186;81;Spain;80;84;4;1563;349;CB;CB;Athletic Club de Bilbao;27000000;26000;58700000;SUB;2023.0;3.0;2016;False;Fora;;;Direito;Média;Alta;72;22;49;49;81;76;29;16;81;79;21;35;27;22;50;70;68;75;35;76;60;39;79;67;79;17;78;81;23;30;31;62;78;83;84;9;9;15;6;11
484;229582;G. Mancini;Gianluca Mancini;25;190;77;Italy;80;84;4;1725;378;CB,CDM;CB;Roma;26500000;52000;47000000;CB;2024.0;23.0;2020;False;Fora;;;Direito;Média;Alta;61;45;50;58;80;84;34;48;82;67;40;51;38;34;42;75;59;63;34;80;57;51;87;86;83;34;85;82;32;51;47;72;78;81;77;13;12;8;6;8
1024;235173;I. Sangaré;Ibrahim Sangaré;23;191;77;Côte d'Ivoire;77;84;7;2020;432;CDM,CM;CB;PSV;20000000;15000;32000000;CDM;2025.0;6.0;2020;False;Fora;;;Direito;Média;Alta;66;65;70;70;77;84;65;61;71;73;62;70;64;62;70;70;69;63;64;72;70;74;74;82;90;64;76;81;68;73;59;75;76;77;76;7;13;11;6;7
855;238476;D. Zagadou;Dan-Axel Zagadou;22;196;90;France;78;84;6;1632;364;CB;CB;Borussia Dortmund;20500000;42000;39000000;RES;2022.0;5.0;2017;False;Fora;;;Esquerdo;Média;Alta;59;34;61;50;80;80;46;26;77;75;25;51;37;25;74;52;51;66;39;72;34;66;64;65;92;25;75;77;31;59;30;78;77;86;80;9;13;5;14;14
515;235688;Lucas Veríssimo;Lucas Veríssimo da Silva;25;188;77;Brazil;79;84;5;1764;395;CB;CB;SL Benfica;23000000;15000;47700000;CB;2025.0;4.0;2021;False;Fora;;;Direito;Baixa;Média;81;39;57;59;80;79;35;30;81;70;28;56;31;32;72;63;80;82;50;78;56;59;81;73;79;45;84;80;25;56;44;71;81;78;77;6;15;15;12;10
534;221491;N. Elvedi;Nico Elvedi;24;189;81;Switzerland;79;83;4;1818;401;CB;CB;Borussia Mönchengladbach;22500000;26000;39900000;CB;2024.0;30.0;2015;False;Fora;;;Direito;Média;Média;74;39;63;68;80;77;65;30;79;74;30;67;45;29;57;72;66;81;64;77;55;50;80;75;80;45;72;82;53;59;37;65;77;84;78;9;15;10;12;9
2550;247819;N. Schlotterbeck;Nico Schlotterbeck;21;191;86;Germany;73;83;10;1576;347;CB;CB;SC Freiburg;6500000;14000;13000000;CB;2023.0;4.0;2019;False;Germany;RES;5.0;Esquerdo;Média;Média;69;29;47;52;75;75;29;21;71;59;29;47;36;35;54;58;62;75;53;73;52;51;67;68;82;26;68;75;25;42;38;59;76;77;74;8;10;8;14;13
4559;252144;Eduardo Quaresma;Eduardo Filipe Quaresma;19;184;76;Portugal;71;83;12;1509;329;CB;CB;CD Tondela;4200000;4000;0;CB;2022.0;72.0;2019;True;Fora;;;Direito;Média;Média;58;31;47;55;72;66;32;28;68;66;30;51;30;35;50;65;49;65;40;71;56;44;80;38;75;23;75;71;28;35;43;76;72;73;70;9;13;8;8;8
1484;229980;C. Montes;César Montes;24;191;70;Mexico;75;83;8;1799;381;CB;CB;Monterrey;11500000;33000;20700000;CB;2022.0;3.0;2015;False;Mexico;CB;3.0;Direito;Média;Alta;60;44;62;64;75;76;41;43;77;72;31;59;62;37;73;69;55;64;80;72;51;55;84;77;75;35;74;75;59;65;48;75;77;74;73;9;10;5;5;13
2592;251616;David Carmo;David Mota Teixeira Carmo;21;196;89;Portugal;73;83;10;1404;306;CB;CB;SC Braga;6500000;8000;14300000;RES;2025.0;16.0;2019;False;Fora;;;Esquerdo;Média;Média;38;28;44;42;75;79;29;23;73;59;28;35;33;25;50;54;35;40;35;73;32;42;32;63;92;23;79;72;22;36;38;70;75;78;73;10;7;9;14;15
2060;241854;P. Schuurs;Perr Schuurs;21;191;79;Netherlands;74;83;9;1926;415;CB;CB;Ajax;9000000;9000;14400000;SUB;2025.0;3.0;2018;False;Fora;;;Direito;Média;Média;67;64;70;66;75;73;69;57;73;72;52;66;68;72;73;71;56;76;58;74;36;84;70;75;74;70;67;77;44;66;57;67;72;76;76;10;13;9;7;6
2394;239360;P. Struijk;Pascal Struijk;21;190;79;Netherlands;74;83;9;1686;363;CB,CDM;CB;Leeds United;9000000;38000;18900000;SUB;2024.0;21.0;2018;False;Fora;;;Esquerdo;Média;Alta;58;35;60;62;75;73;42;23;71;73;34;59;42;32;72;70;56;60;49;69;54;62;73;68;75;30;75;76;33;56;55;71;75;76;72;14;8;8;10;14
1335;238095;N. Milenković;Nikola Milenković;23;195;90;Serbia;76;83;7;1720;389;CB,RB;CB;Fiorentina;14000000;36000;26600000;CB;2023.0;4.0;2017;False;Fora;;;Direito;Média;Alta;66;44;61;61;76;81;66;38;70;68;35;60;34;22;66;68;68;65;50;74;40;60;73;76;85;54;80;76;22;55;34;70;77;78;77;8;7;13;7;14
1041;231633;I. Diop;Issa Diop;24;194;92;France;77;83;6;1677;365;CB;CB;West Ham United;15000000;48000;31500000;RES;2023.0;23.0;2018;False;Fora;;;Direito;Média;Média;65;36;52;55;78;79;37;30;76;67;48;50;32;34;63;63;60;69;52;73;47;50;74;69;85;31;79;79;42;43;44;70;77;79;78;10;7;6;14;9
2286;253257;S. Cáceres;Sebastián Cáceres;21;180;77;Uruguay;74;83;9;1713;376;CB;CB;Club América;9000000;25000;17100000;RES;2024.0;4.0;2020;False;Fora;;;Direito;Média;Alta;76;37;53;58;74;78;52;30;65;65;37;52;25;41;60;65;78;74;61;74;60;60;84;75;80;32;75;75;22;36;51;62;75;76;72;13;15;9;16;8
839;233486;R. Le Normand;Robin Le Normand;24;187;81;France;78;83;5;1585;353;CB;CB;Real Sociedad;19000000;26000;41300000;CB;2022.0;24.0;2016;False;Fora;;;Direito;Média;Média;66;25;52;56;80;74;35;19;83;77;25;52;29;25;62;67;62;70;38;68;53;40;84;60;82;22;68;80;21;31;34;58;82;77;78;9;13;14;15;10
1318;228708;L. Martínez Quarta;Lucas Martínez Quarta;25;183;78;Argentina;76;83;7;1966;415;CB;CB;Fiorentina;13500000;40000;25700000;CB;2025.0;2.0;2020;False;Fora;;;Direito;Média;Média;67;56;69;70;75;78;64;50;79;76;51;68;57;49;74;72;60;73;73;70;65;65;85;73;79;59;80;72;52;68;66;79;72;77;75;10;15;12;10;15
670;225263;D. Ćaleta-Car;Duje Ćaleta-Car;24;192;89;Croatia;78;83;5;1740;380;CB;CB;Olympique de Marseille;19000000;31000;37500000;RES;2023.0;15.0;2018;False;Fora;;;Direito;Média;Alta;59;39;60;61;79;82;28;32;77;78;32;59;28;31;78;67;57;60;46;76;58;67;83;77;86;27;78;79;54;64;38;81;80;78;78;8;9;9;10;8
1022;235844;E. Álvarez;Edson Álvarez;23;187;73;Mexico;77;83;6;1927;416;CDM,CB;CB;Ajax;15500000;14000;24800000;CM;2024.0;4.0;2019;False;Mexico;CDM;4.0;Direito;Média;Alta;69;53;66;65;79;84;64;50;77;74;63;63;40;40;72;67;67;71;62;75;66;69;76;85;84;40;83;81;55;62;65;68;80;77;78;7;11;10;7;6
1127;238160;M. Demiral;Merih Demiral;23;190;86;Turkey;77;83;6;1704;377;CB;CB;Atalanta;15000000;51000;0;SUB;2022.0;28.0;2019;True;Fora;;;Direito;Média;Alta;73;39;47;59;79;80;31;32;73;59;42;57;48;23;59;59;67;78;63;68;63;60;71;69;84;38;85;78;26;38;41;72;78;83;79;15;7;13;6;11
